Wall time,Step,Value
1603389131.5063365,1783,24.497934341430664
1603389358.707901,2377,24.95947265625
1603389965.07674,3961,24.231855392456055
1603390041.0175226,4159,24.309152603149414
1603390154.607185,4456,24.24445343017578
1603390571.4094038,5545,22.674179077148438
1603391140.099716,7030,18.552675247192383
1603391253.7216635,7327,17.000791549682617
1603392011.6734548,9307,17.431884765625
1603392466.20168,10495,17.073087692260742
1603394321.231256,15346,17.375537872314453
1603394434.8027666,15643,17.224365234375
1603394775.5378242,16534,17.22846794128418
1603395381.2048388,18118,17.456003189086914
1603395456.9069724,18316,17.6145076751709
1603397123.1659145,22672,15.63496208190918
1603397312.4013581,23167,15.410032272338867
1603397880.499704,24652,15.345746040344238
1603398107.680141,25246,14.924023628234863
1603398296.9836767,25741,16.217044830322266
1603398561.9297369,26434,14.596033096313477
1603398789.1149364,27028,15.964655876159668
1603400114.129194,30493,14.690423011779785
1603400189.7326367,30691,15.406250953674316
1603400491.8690662,31483,14.624165534973145
1603401283.6067686,33562,15.789168357849121
1603401585.0096302,34354,14.58213996887207
1603402338.4503906,36334,14.130136489868164
1603404373.5628,41680,14.664508819580078
1603404411.2409072,41779,15.019596099853516
1603405051.3845274,43462,15.080412864685059
1603405164.4243767,43759,15.114265441894531
1603405277.4307353,44056,15.056706428527832
1603405842.4698973,45541,14.745780944824219
1603405955.438985,45838,14.669260025024414
1603405993.1059215,45937,14.783019065856934
1603406370.1684842,46927,13.910603523254395
1603407085.8029296,48808,14.337665557861328
1603407877.210002,50887,15.19438648223877
1603408518.1593802,52570,14.075648307800293
1603408706.5207515,53065,15.146261215209961
1603409723.5892076,55738,13.614152908325195
1603410100.4782991,56728,15.845222473144531
1603410326.6181307,57322,14.30720329284668
1603410590.4716465,58015,14.08998966217041
1603410628.156442,58114,14.179609298706055
1603411872.0193462,61381,14.798458099365234
1603411947.3518186,61579,13.572721481323242
1603412399.4388301,62767,13.984125137329102
1603412663.2423997,63460,13.892470359802246
1603412700.9789023,63559,14.647625923156738
1603412776.5635793,63757,15.308171272277832
1603412889.6321566,64054,14.916985511779785
1603412965.0353377,64252,14.903697967529297
1603413417.3686647,65440,14.908885955810547
1603413794.2923605,66430,12.967399597167969
1603415414.2947512,70687,14.710017204284668
1603415715.6383429,71479,13.569000244140625
1603416017.4755697,72271,15.372674942016602
1603416356.6074135,73162,13.803699493408203
1603416846.5273116,74449,14.891375541687012
1603416997.3526194,74845,15.514823913574219
1603417336.5885835,75736,13.42278003692627
1603417487.3159058,76132,14.631048202514648
1603417562.7259865,76330,15.206974029541016
1603417638.1102176,76528,13.35922622680664
1603417901.9773824,77221,14.258284568786621
1603418090.6022615,77716,14.260169982910156
1603418165.9539473,77914,13.518987655639648
1603418354.3546243,78409,13.311491966247559
1603418429.7485597,78607,14.00576400756836
1603418580.5176888,79003,14.42418098449707
1603418731.2592833,79399,14.301111221313477
1603418957.327631,79993,13.890140533447266
1603418995.0040407,80092,14.149784088134766
1603419861.8666813,82369,12.882536888122559
1603420012.5615554,82765,14.197761535644531
1603421257.342576,86032,14.672419548034668
1603421521.1992643,86725,16.51384735107422
1603421747.4768589,87319,12.50062370300293
1603422275.2179973,88705,13.848663330078125
1603422426.0708265,89101,12.051778793334961
1603422689.9749691,89794,14.298583030700684
1603422765.2591653,89992,15.198225975036621
1603423066.524167,90784,13.825211524963379
1603423594.0715895,92170,13.965017318725586
1603424008.2643363,93259,13.30392074584961
1603424121.265291,93556,14.869760513305664
1603424460.4267683,94447,12.50937271118164
1603424761.772989,95239,14.663124084472656
1603425101.239546,96130,14.959864616394043
1603425138.9065568,96229,14.384969711303711
1603425364.8419259,96823,12.467443466186523
1603425402.516498,96922,12.959882736206055
1603425591.6059244,97417,14.128198623657227
1603426269.9718018,99199,13.068449020385742
