Wall time,Step,Value
1603389186.6683943,1783,25.92369270324707
1603389413.6499772,2377,25.333311080932617
1603390018.592018,3961,24.80402374267578
1603390094.180238,4159,24.21991729736328
1603390207.5541158,4456,24.090652465820312
1603390623.569141,5545,22.714412689208984
1603391190.9370956,7030,18.71590805053711
1603391304.3291557,7327,18.479124069213867
1603392060.3976853,9307,17.22420310974121
1603392513.8514383,10495,17.19797706604004
1603394365.6331656,15346,16.94183349609375
1603394479.0045643,15643,15.623236656188965
1603394819.0624917,16534,14.424949645996094
1603395423.6579971,18118,16.217605590820312
1603395499.207874,18316,16.050399780273438
1603397162.3716516,22672,14.43828010559082
1603397351.251798,23167,16.2939395904541
1603397918.3965974,24652,15.471569061279297
1603398145.0951946,25246,15.582737922668457
1603398334.0283425,25741,15.164799690246582
1603398598.5578113,26434,14.628377914428711
1603398825.2575872,27028,14.603606224060059
1603400147.7392547,30493,13.674954414367676
1603400223.2191217,30691,15.196901321411133
1603400525.3127017,31483,15.558971405029297
1603401318.6713805,33562,13.855509757995605
1603401620.7731893,34354,14.93665599822998
1603402375.2930934,36334,14.098249435424805
1603404407.5961099,41680,14.91386604309082
1603404445.1824481,41779,14.683069229125977
1603405084.3068004,43462,13.41972541809082
1603405197.159714,43759,13.9598388671875
1603405310.0166373,44056,13.685240745544434
1603405874.187474,45541,13.990788459777832
1603405986.95948,45838,15.379615783691406
1603406024.56493,45937,14.723711013793945
1603406400.8434536,46927,13.329073905944824
1603407115.1928778,48808,14.489114761352539
1603407905.398676,50887,15.198277473449707
1603408545.119012,52570,13.795987129211426
1603408733.145921,53065,14.177840232849121
1603409748.4175234,55738,14.734589576721191
1603410124.6802251,56728,13.59875774383545
1603410350.39706,57322,13.192771911621094
1603410613.71845,58015,14.544231414794922
1603410651.3508697,58114,15.064105033874512
1603411892.909417,61381,13.660024642944336
1603411968.152736,61579,13.324869155883789
1603412419.3311641,62767,13.546119689941406
1603412682.6944902,63460,14.162826538085938
1603412720.3023865,63559,14.455778121948242
1603412795.7305713,63757,13.440694808959961
1603412908.5995347,64054,13.813880920410156
1603412983.8600876,64252,12.7703275680542
1603413435.3287308,65440,15.423688888549805
1603413811.455692,66430,13.897826194763184
1603415428.395907,70687,12.608661651611328
1603415729.1656387,71479,13.421392440795898
1603416030.4856508,72271,13.873041152954102
1603416368.8708675,73162,12.932437896728516
1603416857.8208303,74449,12.048369407653809
1603417008.2499485,74845,13.088573455810547
1603417346.7807665,75736,14.710295677185059
1603417497.2475207,76132,12.601714134216309
1603417572.529292,76330,12.977148056030273
1603417647.7552824,76528,12.40003490447998
1603417911.0444133,77221,14.912718772888184
1603418099.3769848,77716,14.036687850952148
1603418174.5993977,77914,13.187210083007812
1603418362.6611953,78409,13.799701690673828
1603418437.9224403,78607,14.135259628295898
1603418588.383191,79003,12.853797912597656
1603418738.9093413,79399,13.531012535095215
